"country_of_origin" "count" "highest_score" "lowest_score" "mean_score" "long" "lat" "group" "order" "subregion"
"52" "Brazil" 132 88.83 70.67 82.4059090909091 -38.7869644165039 -13.0550785064697 7 136 "6"
"53" "Brazil" 132 88.83 70.67 82.4059090909091 -38.6848640441895 -12.9749021530151 7 137 "6"
"54" "Brazil" 132 88.83 70.67 82.4059090909091 -38.6681137084961 -12.8801765441895 7 138 "6"
"55" "Brazil" 132 88.83 70.67 82.4059090909091 -38.6145477294922 -12.9240236282349 7 139 "6"
"56" "Brazil" 132 88.83 70.67 82.4059090909091 -38.6002922058105 -12.9724617004395 7 140 "6"
"57" "Brazil" 132 88.83 70.67 82.4059090909091 -38.6011734008789 -12.9925775527954 7 141 "6"
"58" "Brazil" 132 88.83 70.67 82.4059090909091 -38.7438468933105 -13.0970706939697 7 142 "6"
"59" "Brazil" 132 88.83 70.67 82.4059090909091 -44.4993171691895 -2.93964815139771 8 144 "7"
"60" "Brazil" 132 88.83 70.67 82.4059090909091 -44.5977554321289 -3.03759765625 8 145 "7"
"61" "Brazil" 132 88.83 70.67 82.4059090909091 -44.5653305053711 -2.92392563819885 8 146 "7"
"62" "Brazil" 132 88.83 70.67 82.4059090909091 -44.5818862915039 -2.84560513496399 8 147 "7"
"63" "Brazil" 132 88.83 70.67 82.4059090909091 -44.569091796875 -2.78496098518372 8 148 "7"
"64" "Brazil" 132 88.83 70.67 82.4059090909091 -44.501953125 -2.72626948356628 8 149 "7"
"65" "Brazil" 132 88.83 70.67 82.4059090909091 -44.4814453125 -2.71757841110229 8 150 "7"
"66" "Brazil" 132 88.83 70.67 82.4059090909091 -44.4873046875 -2.78974580764771 8 151 "7"
"67" "Brazil" 132 88.83 70.67 82.4059090909091 -44.4825706481934 -2.81191420555115 8 152 "7"
"68" "Brazil" 132 88.83 70.67 82.4059090909091 -44.4993171691895 -2.93964815139771 8 153 "7"
"69" "Brazil" 132 88.83 70.67 82.4059090909091 -44.8831062316895 -1.31787109375 9 155 "8"
"70" "Brazil" 132 88.83 70.67 82.4059090909091 -44.9471168518066 -1.36601567268372 9 156 "8"
"71" "Brazil" 132 88.83 70.67 82.4059090909091 -44.9678726196289 -1.39082014560699 9 157 "8"
"72" "Brazil" 132 88.83 70.67 82.4059090909091 -45.0208511352539 -1.37236344814301 9 158 "8"
"73" "Brazil" 132 88.83 70.67 82.4059090909091 -45.01123046875 -1.34472680091858 9 159 "8"
"74" "Brazil" 132 88.83 70.67 82.4059090909091 -44.99560546875 -1.34755837917328 9 160 "8"
"75" "Brazil" 132 88.83 70.67 82.4059090909091 -44.9786643981934 -1.26728522777557 9 161 "8"
"76" "Brazil" 132 88.83 70.67 82.4059090909091 -44.8882789611816 -1.27685534954071 9 162 "8"
"77" "Brazil" 132 88.83 70.67 82.4059090909091 -44.8831062316895 -1.31787109375 9 163 "8"
"78" "Brazil" 132 88.83 70.67 82.4059090909091 -51.83251953125 -1.43378901481628 10 165 "Ilha Grande de Gurupa"
"79" "Brazil" 132 88.83 70.67 82.4059090909091 -51.9383773803711 -1.45263648033142 10 166 "Ilha Grande de Gurupa"
"80" "Brazil" 132 88.83 70.67 82.4059090909091 -51.8020515441895 -1.20253932476044 10 167 "Ilha Grande de Gurupa"
"81" "Brazil" 132 88.83 70.67 82.4059090909091 -51.6800270080566 -1.08613264560699 10 168 "Ilha Grande de Gurupa"
"82" "Brazil" 132 88.83 70.67 82.4059090909091 -51.6782684326172 -0.855078220367432 10 169 "Ilha Grande de Gurupa"
"83" "Brazil" 132 88.83 70.67 82.4059090909091 -51.5460433959961 -0.649609267711639 10 170 "Ilha Grande de Gurupa"
"84" "Brazil" 132 88.83 70.67 82.4059090909091 -51.4244651794434 -0.565917909145355 10 171 "Ilha Grande de Gurupa"
"85" "Brazil" 132 88.83 70.67 82.4059090909091 -51.2540016174316 -0.541406154632568 10 172 "Ilha Grande de Gurupa"
"86" "Brazil" 132 88.83 70.67 82.4059090909091 -51.1607437133789 -0.666699409484863 10 173 "Ilha Grande de Gurupa"
"87" "Brazil" 132 88.83 70.67 82.4059090909091 -51.2763175964355 -1.02177739143372 10 174 "Ilha Grande de Gurupa"
"88" "Brazil" 132 88.83 70.67 82.4059090909091 -51.3101043701172 -1.02382802963257 10 175 "Ilha Grande de Gurupa"
"89" "Brazil" 132 88.83 70.67 82.4059090909091 -51.4651374816895 -1.21113312244415 10 176 "Ilha Grande de Gurupa"
"90" "Brazil" 132 88.83 70.67 82.4059090909091 -51.6376953125 -1.34189462661743 10 177 "Ilha Grande de Gurupa"
"91" "Brazil" 132 88.83 70.67 82.4059090909091 -51.83251953125 -1.43378901481628 10 178 "Ilha Grande de Gurupa"
"92" "Brazil" 132 88.83 70.67 82.4059090909091 -49.628662109375 -0.229199171066284 11 180 "Ilha de Marajo"
"93" "Brazil" 132 88.83 70.67 82.4059090909091 -49.5352058410645 -0.233593747019768 11 181 "Ilha de Marajo"
"94" "Brazil" 132 88.83 70.67 82.4059090909091 -49.4028816223145 -0.214648321270943 11 182 "Ilha de Marajo"
"95" "Brazil" 132 88.83 70.67 82.4059090909091 -49.3142585754395 -0.167870908975601 11 183 "Ilha de Marajo"
"96" "Brazil" 132 88.83 70.67 82.4059090909091 -49.215087890625 -0.158691555261612 11 184 "Ilha de Marajo"
"97" "Brazil" 132 88.83 70.67 82.4059090909091 -49.1169929504395 -0.163574293255806 11 185 "Ilha de Marajo"
"98" "Brazil" 132 88.83 70.67 82.4059090909091 -48.7865715026855 -0.215527251362801 11 186 "Ilha de Marajo"
"99" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5880355834961 -0.231640532612801 11 187 "Ilha de Marajo"
"100" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5154304504395 -0.248241990804672 11 188 "Ilha de Marajo"
"101" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4444808959961 -0.271874785423279 11 189 "Ilha de Marajo"
"102" "Brazil" 132 88.83 70.67 82.4059090909091 -48.3926773071289 -0.297363370656967 11 190 "Ilha de Marajo"
"103" "Brazil" 132 88.83 70.67 82.4059090909091 -48.3796882629395 -0.352831989526749 11 191 "Ilha de Marajo"
"104" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4280281066895 -0.441504091024399 11 192 "Ilha de Marajo"
"105" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4639663696289 -0.534765541553497 11 193 "Ilha de Marajo"
"106" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4974594116211 -0.664941608905792 11 194 "Ilha de Marajo"
"107" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5233421325684 -0.691406488418579 11 195 "Ilha de Marajo"
"108" "Brazil" 132 88.83 70.67 82.4059090909091 -48.566650390625 -0.684472560882568 11 196 "Ilha de Marajo"
"109" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5396995544434 -0.800976634025574 11 197 "Ilha de Marajo"
"110" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5495109558105 -0.847558736801147 11 198 "Ilha de Marajo"
"111" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5709457397461 -0.892871081829071 11 199 "Ilha de Marajo"
"112" "Brazil" 132 88.83 70.67 82.4059090909091 -48.6240730285645 -0.986914098262787 11 200 "Ilha de Marajo"
"113" "Brazil" 132 88.83 70.67 82.4059090909091 -48.70458984375 -1.10664045810699 11 201 "Ilha de Marajo"
"114" "Brazil" 132 88.83 70.67 82.4059090909091 -48.728515625 -1.13173830509186 11 202 "Ilha de Marajo"
"115" "Brazil" 132 88.83 70.67 82.4059090909091 -48.7898445129395 -1.17333960533142 11 203 "Ilha de Marajo"
"116" "Brazil" 132 88.83 70.67 82.4059090909091 -48.8396987915039 -1.22656226158142 11 204 "Ilha de Marajo"
"117" "Brazil" 132 88.83 70.67 82.4059090909091 -48.8290061950684 -1.27656257152557 11 205 "Ilha de Marajo"
"118" "Brazil" 132 88.83 70.67 82.4059090909091 -48.8040504455566 -1.32695305347443 11 206 "Ilha de Marajo"
"119" "Brazil" 132 88.83 70.67 82.4059090909091 -48.8335952758789 -1.39003908634186 11 207 "Ilha de Marajo"
"120" "Brazil" 132 88.83 70.67 82.4059090909091 -48.9289054870605 -1.48232436180115 11 208 "Ilha de Marajo"
"121" "Brazil" 132 88.83 70.67 82.4059090909091 -48.9859390258789 -1.50468742847443 11 209 "Ilha de Marajo"
"122" "Brazil" 132 88.83 70.67 82.4059090909091 -49.0384788513184 -1.51406276226044 11 210 "Ilha de Marajo"
"123" "Brazil" 132 88.83 70.67 82.4059090909091 -49.0868644714355 -1.50507819652557 11 211 "Ilha de Marajo"
"124" "Brazil" 132 88.83 70.67 82.4059090909091 -49.1727027893066 -1.41259765625 11 212 "Ilha de Marajo"
"125" "Brazil" 132 88.83 70.67 82.4059090909091 -49.1816902160645 -1.48496103286743 11 213 "Ilha de Marajo"
"126" "Brazil" 132 88.83 70.67 82.4059090909091 -49.2047843933105 -1.55898439884186 11 214 "Ilha de Marajo"
"127" "Brazil" 132 88.83 70.67 82.4059090909091 -49.2339859008789 -1.59951198101044 11 215 "Ilha de Marajo"
"128" "Brazil" 132 88.83 70.67 82.4059090909091 -49.3448257446289 -1.59521484375 11 216 "Ilha de Marajo"
"129" "Brazil" 132 88.83 70.67 82.4059090909091 -49.4065933227539 -1.55556666851044 11 217 "Ilha de Marajo"
"130" "Brazil" 132 88.83 70.67 82.4059090909091 -49.5066413879395 -1.51162135601044 11 218 "Ilha de Marajo"
"131" "Brazil" 132 88.83 70.67 82.4059090909091 -49.5256843566895 -1.63046884536743 11 219 "Ilha de Marajo"
"132" "Brazil" 132 88.83 70.67 82.4059090909091 -49.587890625 -1.71240234375 11 220 "Ilha de Marajo"
"133" "Brazil" 132 88.83 70.67 82.4059090909091 -49.6505851745605 -1.73808586597443 11 221 "Ilha de Marajo"
"134" "Brazil" 132 88.83 70.67 82.4059090909091 -49.748779296875 -1.75537133216858 11 222 "Ilha de Marajo"
"135" "Brazil" 132 88.83 70.67 82.4059090909091 -49.8051300048828 -1.79023408889771 11 223 "Ilha de Marajo"
"136" "Brazil" 132 88.83 70.67 82.4059090909091 -49.9113273620605 -1.76298820972443 11 224 "Ilha de Marajo"
"137" "Brazil" 132 88.83 70.67 82.4059090909091 -50.0099639892578 -1.70849597454071 11 225 "Ilha de Marajo"
"138" "Brazil" 132 88.83 70.67 82.4059090909091 -50.0657234191895 -1.70380866527557 11 226 "Ilha de Marajo"
"139" "Brazil" 132 88.83 70.67 82.4059090909091 -50.1092758178711 -1.74785125255585 11 227 "Ilha de Marajo"
"140" "Brazil" 132 88.83 70.67 82.4059090909091 -50.3384246826172 -1.75595688819885 11 228 "Ilha de Marajo"
"141" "Brazil" 132 88.83 70.67 82.4059090909091 -50.4434585571289 -1.80068373680115 11 229 "Ilha de Marajo"
"142" "Brazil" 132 88.83 70.67 82.4059090909091 -50.5076179504395 -1.78798818588257 11 230 "Ilha de Marajo"
"143" "Brazil" 132 88.83 70.67 82.4059090909091 -50.60205078125 -1.69775414466858 11 231 "Ilha de Marajo"
"144" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6171875 -1.63769555091858 11 232 "Ilha de Marajo"
"145" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6733894348145 -1.51601529121399 11 233 "Ilha de Marajo"
"146" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7238311767578 -1.37148451805115 11 234 "Ilha de Marajo"
"147" "Brazil" 132 88.83 70.67 82.4059090909091 -50.759765625 -1.24023413658142 11 235 "Ilha de Marajo"
"148" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7294921875 -1.12675762176514 11 236 "Ilha de Marajo"
"149" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6683120727539 -1.13056659698486 11 237 "Ilha de Marajo"
"150" "Brazil" 132 88.83 70.67 82.4059090909091 -50.5959014892578 -1.1474609375 11 238 "Ilha de Marajo"
"151" "Brazil" 132 88.83 70.67 82.4059090909091 -50.5805168151855 -1.13945329189301 11 239 "Ilha de Marajo"
"152" "Brazil" 132 88.83 70.67 82.4059090909091 -50.5769538879395 -1.10312485694885 11 240 "Ilha de Marajo"
"153" "Brazil" 132 88.83 70.67 82.4059090909091 -50.5929183959961 -1.07294940948486 11 241 "Ilha de Marajo"
"154" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7096176147461 -1.07773411273956 11 242 "Ilha de Marajo"
"155" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7832984924316 -1.01035141944885 11 243 "Ilha de Marajo"
"156" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7960929870605 -0.906250178813934 11 244 "Ilha de Marajo"
"157" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7809562683105 -0.689843475818634 11 245 "Ilha de Marajo"
"158" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7713890075684 -0.645410001277924 11 246 "Ilha de Marajo"
"159" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7199211120605 -0.583398222923279 11 247 "Ilha de Marajo"
"160" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7030754089355 -0.528515756130219 11 248 "Ilha de Marajo"
"161" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7158203125 -0.470214992761612 11 249 "Ilha de Marajo"
"162" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6937026977539 -0.364453285932541 11 250 "Ilha de Marajo"
"163" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6455078125 -0.272851675748825 11 251 "Ilha de Marajo"
"164" "Brazil" 132 88.83 70.67 82.4059090909091 -50.4615707397461 -0.157421872019768 11 252 "Ilha de Marajo"
"165" "Brazil" 132 88.83 70.67 82.4059090909091 -50.2482452392578 -0.116406112909317 11 253 "Ilha de Marajo"
